,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
0,#Apple 's business is booming https://t.co/I6uzvlt7uZ,apple business booming,0.0,0.0,neutral,0.0,1.0,0.0,0.0,22,3
1,"For a LIMITED TIME #DISCOUNT 
AND #FREE Shipping Worldwide

#Bags
#Shoes
#SmartWatch 

AND MORE

https://t.co/3J0TaRKWET
#Twitter #Instagram #Facebook #YouTube #Google #Apple #Fashion #Style #Model #WWE #FIFA #UFC",limited time discount free shipping worldwide bags shoes smartwatch twitter instagram facebook youtube google apple fashion style model wwe fifa ufc,0.1642857142857143,0.4714285714285714,positive,0.079,0.785,0.136,0.34,148,21
2,"EP #130: @SeanMagers and @keithrconrad discuss the episode ""The 7th Is Made Up of Phantoms"" and the less than stellar military strategy of George Armstrong Custer
#Apple https://t.co/iZHWFKMcVC
#Spotify https://t.co/opymY6hUo7
#Google https://t.co/kWYzbfWqLt https://t.co/3kcxaC8YzC",ep 130 discuss episode 7th made phantoms less stellar military strategy george armstrong custer apple spotify google,-0.005555555555555554,0.13888888888888887,neutral,0.0,1.0,0.0,0.0,116,17
3,"🔴 After Elon Musk, Meta CEO Mark Zuckerberg also took a dump on #Apple for its iron-fist handling of the App Store policies. 

💡 @Axios contextualizes Zuckerberg's criticism of Apple.

🔗 Get the essential details, today on informed ⬇️",elon musk meta ceo mark zuckerberg also took dump apple iron fist handling app store policies contextualizes zuckerberg criticism apple get essential details today informed,0.0,0.3,negative,0.193,0.807,0.0,-0.6705,172,25
4,"What is #Trello BigPicture and how do ...

-- General Technology | : https://t.co/LIoJJycs4K.

#Advice #App #Apple #Background #Board #Business #Charts #Cloudfront #Color #Columns #Data #Dates #Desktop #Filter #Gantt #GanttChart #GanttCharts #Gear #Hover #HowTo #IPhone ... https://t.co/XPMerFBio9",trello bigpicture general technology advice app apple background board business charts cloudfront color columns data dates desktop filter gantt ganttchart ganttcharts gear hover howto iphone,0.05000000000000002,0.5,neutral,0.0,1.0,0.0,0.0,190,25
5,"What is #Trello BigPicture and how do ...

-- General Technology | : https://t.co/RLawc3abLT.

#Advice #App #Apple #Background #Board #Business #Charts #Cloudfront #Color #Columns #Data #Dates #Desktop #Filter #Gantt #GanttChart #GanttCharts #Gear #Hover #HowTo #IPhone ... https://t.co/z1s3AWHyEq",trello bigpicture general technology advice app apple background board business charts cloudfront color columns data dates desktop filter gantt ganttchart ganttcharts gear hover howto iphone,0.05000000000000002,0.5,neutral,0.0,1.0,0.0,0.0,190,25
6,Still makes me smile #Apple https://t.co/cNaDOOERst,still makes smile apple,0.3,0.1,positive,0.0,0.545,0.455,0.3612,23,4
7,The Apple commercial about the accessibility features on the iphone and the watch is so amazing. I had no idea it can do so much to help people with disabilities. #Apple,apple commercial accessibility features iphone watch amazing no idea much help people disabilities apple,0.26666666666666666,0.3666666666666667,positive,0.112,0.558,0.33,0.6486,104,14
8,"#Breaking: Tim Cook did not reply to Elon Musk's criticism of #Apple by saying ""Your feedback is appreciated, now pay 30%."" The alleged tweet is fake, a joke.

#Twitter #Timcook #Apple #Elonmusk https://t.co/GsMatNHuC7",breaking tim cook not reply elon musk criticism apple saying feedback appreciated pay 30 alleged tweet fake joke twitter timcook apple elonmusk,-0.13333333333333333,0.39999999999999997,negative,0.247,0.569,0.184,-0.2263,143,22
9,"BREAKING: 🍏@Apple blocks @coinbase/@CoinbaseWallet app release, requesting 30% of all #NFT transfer gas fees! 

What’s going on over there #Apple?

First they’re against #Crypto &amp; #NFTs and now everyone wants a part of the 🥧

#Coinzone #Coinbase #AppStore #DeFi #DAO #Web3 $COIN https://t.co/1yIIDQIP9X https://t.co/GlZykAg1CK",breaking blocks app release requesting 30 nft transfer gas fees going over apple first against crypto amp nfts everyone wants part coinzone coinbase appstore defi dao web3 coin,0.225,0.21666666666666667,negative,0.066,0.934,0.0,-0.2263,176,28
10,BREAKING: #Apple has blocked #Coinbase Wallet from being able to send NFTs. They say it will stay blocked until they remove the feature.,breaking apple blocked coinbase wallet able send nfts say stay blocked remove feature,0.5,0.625,negative,0.276,0.724,0.0,-0.4939,85,13
11,"Breaking News 🚨

@Apple blocks Coinbase Wallet on it’s App Store, requesting 30% of all NFT transfer fees as a contingent.

#Coinbase #Apple #Crypto #Cryptocurency https://t.co/AiqcQDM9U8",breaking news blocks coinbase wallet app store requesting 30 nft transfer fees contingent coinbase apple crypto cryptocurency,-0.1,0.6,negative,0.106,0.894,0.0,-0.2263,125,17
12,@CoinbaseWallet Time to abandon #Apple.,time abandon apple,0.0,0.0,negative,0.592,0.408,0.0,-0.4404,18,3
13,#apple blocked Coinbase wallet 😆 https://t.co/bIGclgaVnj,apple blocked coinbase wallet,0.0,0.0,negative,0.412,0.588,0.0,-0.2732,29,4
14,Very bad look for #Apple https://t.co/H5QHFSn8u2,bad look apple,-0.6999999999999998,0.6666666666666666,negative,0.636,0.364,0.0,-0.5423,14,3
15,Coinbase Wallet latest app release blocked on #Apple Store due to lack of gas fee payments on #NFT transactions.,coinbase wallet latest app release blocked apple store due lack gas fee payments nft transactions,0.1875,0.6375,negative,0.253,0.747,0.0,-0.5267,97,15
16,"I'm with @elonmusk.  This is a battle for humanity 💪
#applesucksanyway

#freedomofspeech
#TwitterTakeover
#twitter
#ELONMUSK
#Apple",battle humanity applesucksanyway freedomofspeech twittertakeover twitter elonmusk apple,0.0,0.0,negative,0.271,0.729,0.0,-0.3818,87,8
